,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HF,AF,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,DiffPts,DiffFormPts,DiffLP,HTGD,ATGD
2459,H,30,27,D,W,W,L,D,L,7.0,11.0,15.0,5.0,7.0,2.0,7.0,0.0,0.0,2.0,0.0,0.0,3,6,3,7.0,1.0
2460,H,33,17,D,W,L,D,L,L,11.0,13.0,16.0,6.0,7.0,3.0,12.0,4.0,2.0,2.0,0.0,0.0,16,8,-14,8.0,-14.0
2461,D,12,16,L,W,L,D,D,L,11.0,8.0,13.0,8.0,9.0,5.0,3.0,6.0,0.0,0.0,0.0,0.0,-4,-2,-2,-19.0,-13.0
2462,A,34,20,D,D,D,D,L,L,7.0,13.0,16.0,12.0,5.0,9.0,9.0,2.0,1.0,1.0,0.0,0.0,14,5,-10,15.0,-4.0
2463,A,45,11,W,W,W,D,L,L,8.0,10.0,26.0,10.0,13.0,5.0,17.0,3.0,2.0,2.0,0.0,0.0,34,11,-17,33.0,-14.0
2464,D,21,19,L,D,D,D,L,W,9.0,6.0,18.0,11.0,9.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,2,-2,3,-6.0,-5.0
2465,D,25,14,D,L,W,L,D,D,14.0,5.0,12.0,10.0,3.0,6.0,8.0,5.0,2.0,3.0,0.0,1.0,11,5,-1,-10.0,-20.0
2466,D,19,39,D,L,D,D,W,D,8.0,4.0,14.0,12.0,8.0,7.0,10.0,5.0,1.0,2.0,0.0,0.0,-20,-3,7,-5.0,15.0
2467,H,18,45,D,W,L,D,W,W,7.0,6.0,8.0,25.0,5.0,11.0,1.0,10.0,1.0,1.0,0.0,0.0,-27,-3,12,0.0,38.0
2468,A,22,24,D,W,W,W,D,W,10.0,8.0,10.0,13.0,2.0,8.0,2.0,7.0,0.0,2.0,0.0,0.0,-2,0,3,-7.0,-1.0
2469,A,20,19,D,L,L,D,L,D,11.0,6.0,10.0,8.0,2.0,4.0,14.0,0.0,2.0,4.0,0.0,0.0,1,-1,5,-4.0,-5.0
2470,A,14,26,W,D,L,D,D,L,8.0,7.0,14.0,8.0,7.0,3.0,8.0,3.0,2.0,1.0,0.0,0.0,-12,-4,5,-13.0,-10.0
2471,H,20,36,D,D,L,W,D,W,6.0,12.0,21.0,17.0,8.0,10.0,4.0,3.0,0.0,1.0,0.0,1.0,-16,-5,6,-5.0,9.0
2472,A,17,22,L,D,L,D,L,D,12.0,12.0,9.0,13.0,6.0,6.0,2.0,5.0,2.0,1.0,1.0,0.0,-5,-5,5,-15.0,-6.0
2473,A,17,34,D,D,D,L,D,D,9.0,10.0,9.0,15.0,5.0,10.0,0.0,5.0,3.0,2.0,0.0,0.0,-17,-3,14,-13.0,13.0
2474,H,45,34,L,D,W,W,D,D,13.0,7.0,10.0,18.0,8.0,10.0,5.0,6.0,1.0,2.0,1.0,0.0,11,-4,-7,37.0,9.0
2475,H,42,22,W,D,W,L,D,W,3.0,14.0,20.0,8.0,14.0,2.0,14.0,7.0,0.0,5.0,0.0,0.0,20,4,-6,16.0,-8.0
2476,A,15,21,D,L,D,W,D,W,9.0,6.0,20.0,10.0,10.0,9.0,9.0,6.0,1.0,0.0,0.0,0.0,-6,-4,2,-20.0,1.0
2477,A,24,13,L,W,D,D,L,W,7.0,11.0,10.0,12.0,4.0,7.0,5.0,10.0,1.0,3.0,0.0,0.0,11,4,-11,-2.0,-19.0
2478,H,30,45,L,W,L,L,W,W,16.0,15.0,10.0,6.0,6.0,6.0,4.0,4.0,1.0,2.0,0.0,0.0,-15,-8,3,1.0,32.0
2479,H,42,24,W,D,W,L,W,D,5.0,15.0,14.0,11.0,7.0,4.0,6.0,4.0,1.0,3.0,0.0,0.0,18,3,-3,16.0,-2.0
2480,D,23,24,L,W,D,L,L,W,12.0,11.0,17.0,7.0,11.0,4.0,9.0,3.0,1.0,1.0,0.0,0.0,-1,-3,9,-4.0,-4.0
2481,H,14,23,L,W,D,W,D,D,14.0,11.0,15.0,17.0,11.0,7.0,0.0,9.0,1.0,1.0,1.0,0.0,-9,-4,10,-14.0,-4.0
2482,H,37,24,W,L,D,W,W,D,9.0,9.0,21.0,9.0,10.0,4.0,8.0,2.0,3.0,1.0,0.0,0.0,13,-4,-7,14.0,4.0
2483,D,34,29,L,W,D,W,D,D,6.0,11.0,13.0,3.0,5.0,1.0,11.0,1.0,0.0,3.0,0.0,0.0,5,0,-6,6.0,-9.0
2484,H,45,16,L,L,W,W,D,L,7.0,7.0,19.0,11.0,9.0,5.0,11.0,3.0,0.0,1.0,0.0,0.0,29,2,-16,29.0,-18.0
2485,D,45,17,W,W,D,L,D,D,6.0,12.0,22.0,5.0,10.0,3.0,8.0,1.0,1.0,3.0,0.0,0.0,28,8,-16,18.0,-14.0
2486,A,22,25,L,L,D,W,D,L,6.0,14.0,16.0,7.0,8.0,4.0,10.0,5.0,0.0,1.0,0.0,0.0,-3,1,-2,-9.0,-5.0
2487,H,33,17,W,L,W,L,L,D,5.0,9.0,9.0,15.0,4.0,9.0,3.0,2.0,0.0,4.0,0.0,0.0,16,6,-12,4.0,-16.0
2488,H,23,36,W,D,D,L,W,D,9.0,9.0,9.0,14.0,5.0,9.0,9.0,2.0,0.0,0.0,0.0,0.0,-13,-1,8,-3.0,8.0
2489,A,15,48,L,D,L,W,L,D,16.0,15.0,7.0,12.0,4.0,8.0,4.0,5.0,3.0,3.0,0.0,0.0,-33,-7,14,-23.0,40.0
2490,H,16,35,L,W,D,D,L,W,10.0,13.0,15.0,11.0,8.0,8.0,5.0,5.0,0.0,2.0,0.0,0.0,-19,1,10,-21.0,6.0
2491,D,25,17,D,L,L,W,L,W,15.0,13.0,15.0,14.0,8.0,8.0,5.0,8.0,2.0,2.0,0.0,0.0,8,-2,-12,-4.0,-12.0
2492,H,23,36,L,W,D,W,W,L,8.0,12.0,10.0,15.0,7.0,9.0,2.0,6.0,0.0,4.0,0.0,0.0,-13,-4,4,-6.0,5.0
2493,D,28,40,W,W,D,W,W,L,5.0,4.0,5.0,19.0,3.0,9.0,1.0,11.0,0.0,0.0,0.0,0.0,-12,0,6,-4.0,15.0
2494,H,17,15,L,L,L,L,L,D,10.0,15.0,16.0,9.0,8.0,4.0,7.0,1.0,2.0,2.0,0.0,0.0,2,-1,2,-17.0,-24.0
2495,A,30,22,D,W,D,L,L,L,10.0,10.0,10.0,15.0,3.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,8,2,4,-9.0,-10.0
2496,H,24,26,L,W,W,W,W,D,9.0,6.0,7.0,11.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,-2,2,2,3.0,-2.0
2497,A,18,24,D,L,D,D,L,W,11.0,8.0,13.0,11.0,9.0,5.0,12.0,3.0,1.0,0.0,1.0,0.0,-6,-1,4,-14.0,-4.0
2498,A,36,48,L,L,W,W,L,L,15.0,6.0,12.0,9.0,6.0,5.0,0.0,5.0,5.0,2.0,0.0,0.0,-12,-2,1,7.0,32.0
2499,H,51,46,W,W,L,D,W,W,7.0,10.0,13.0,12.0,7.0,7.0,9.0,4.0,2.0,1.0,0.0,0.0,5,-1,-3,41.0,18.0
2500,H,26,54,D,D,L,W,W,W,12.0,9.0,9.0,17.0,4.0,11.0,3.0,9.0,1.0,2.0,0.0,0.0,-28,-5,6,-4.0,42.0
